Reagent	InChIKey
1,1,1-Trichloroethane	UOCLXMDMGBRAIB-UHFFFAOYSA-N
1,1,2,2-Tetrachloroethane	QPFMBZIOSGYJDE-UHFFFAOYSA-N 
1,2-Dichloroethane	WSLDOOZREJYCGB-UHFFFAOYSA-N
1,3-Benzenediol	LUKBXSAWLPMMSZ-UHFFFAOYSA-N
1-Butanol 	LRHPLDYGYMQRHN-UHFFFAOYSA-N
1-Hexanol	ZSIAUFGUXNUGDI-UHFFFAOYSA-N
1-Methyl-2-pyrrolidinone	SECXISVLQFMRJM-UHFFFAOYSA-N
1-Octanol	KBPLFHHGFOOTCA-UHFFFAOYSA-N
1-Propanol	BDERNNFJNOPAEC-UHFFFAOYSA-N  
2-Butoxyethyl acetate	NQBXSWAWVZHKBZ-UHFFFAOYSA-N
2-Methoxyethanol	XNWFRZJHXBZDAG-UHFFFAOYSA-N
2-Methoxyethyl acetate	XLLIQLLCWZCATF-UHFFFAOYSA-N
2-Methyl-1-propanol	ZXEKIIBDNHEJCQ-UHFFFAOYSA-N
2-Pentanone	XNLICIUVMPYHGG-UHFFFAOYSA-N
2-Propanol	KFZMGEQAYNKOFK-UHFFFAOYSA-N
2-Propenoic acid	WBYWAXJHAXSJNI-UHFFFAOYSA-N
(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanal 	GZCGUPFRVQAUEE-SLPGGIOYSA-N
(2S,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanal	GZCGUPFRVQAUEE-KVTDHHQDSA-N
3-Methyl-1-butanol	PHTQWCKDNZKARW-UHFFFAOYSA-N  
3-Pentanone	FDPIMTJIUBPUKL-UHFFFAOYSA-N  
4-Dimethylaminopyridine	VHYFNPMBLIVWCW-UHFFFAOYSA-N
4-Methyl-2-pentanone	NTIZESTWPVYFNL-UHFFFAOYSA-N
Acetate	QTBSBXVTEAMEQO-UHFFFAOYSA-M
Acetic acid	QTBSBXVTEAMEQO-UHFFFAOYSA-N
Acetic anhydride	WFDIJRYMOXRFFG-UHFFFAOYSA-N
Acetone	CSCPPACGZOOCGX-UHFFFAOYSA-N
Acetonitrile	WEVYAHXRMPXWCK-UHFFFAOYSA-N
Acetylene	HSFWRNGVRCDJHI-UHFFFAOYSA-N
Acetyl radical	TUCNEACPLKLKNU-UHFFFAOYSA-N
Adenosine	OIRDTQYFTABQOQ-KQYNXXCUSA-N
Adenosine 5'-monophosphate	UDMBCSSLTHHNCD-KQYNXXCUSA-N
Aluminum	XAGFODPZIPBFFR-UHFFFAOYSA-N
Amide Ion	HYGWNUKOUCZBND-UHFFFAOYSA-N
Ammonia	QGZKDVFQNNGYKY-UHFFFAOYSA-N
Ammonium	QGZKDVFQNNGYKY-UHFFFAOYSA-O
Ammonium hydroxide	VHUUQVKOLVNVRT-UHFFFAOYSA-N
Argon	XKRFYHLGVUSROY-UHFFFAOYSA-N
Aspartate(2-)	CKLJMWTZIZZHCS-UHFFFAOYSA-L
Azobisisobutyronitrile	OZAIFHULBGXAKX-UHFFFAOYSA-N
Barium hydroxide	RQPZNWPYLFFXCP-UHFFFAOYSA-L
Benzaldehyde	HUMNYLRZRPPJDN-UHFFFAOYSA-N
Benzene	UHOVQNZJYSORNB-UHFFFAOYSA-N
Benzyl alcohol	WVDDGKGOMKODPV-UHFFFAOYSA-N
Butane	IJDNQMDRQITEOD-UHFFFAOYSA-N
Butanone	ZWEHNKRNPOVVGH-UHFFFAOYSA-N
Butyl acetate	DKPFZGUDAPQIHT-UHFFFAOYSA-N
Butylated hydroxytoluene	NLZUEZXRPGMBCV-UHFFFAOYSA-N
Calcium 	FAQLAUHZSGTTLN-UHFFFAOYSA-N
Calcium chloride	UXVMQQNJUSDDNG-UHFFFAOYSA-L
Carbonate	BVKZGUZCCUSVTD-UHFFFAOYSA-L
Carbon C-13	OKTJSMMVPCPJKN-OUBTZVSYSA-N
Carbon Dioxide	CURLTUGMZLYLDI-UHFFFAOYSA-N
Carbon disulfide	QGJOPFRUJISHPQ-UHFFFAOYSA-N
Carbonic acid	BVKZGUZCCUSVTD-UHFFFAOYSA-N
Carbon tetrachloride	VZGDMQKNWNREIO-UHFFFAOYSA-N
Carbonyldiimidazole	PFKFTWBEEFSNDU-UHFFFAOYSA-N
Ceric ammonium nitrate	WIBGOERAEYJBOT-UHFFFAOYSA-N
Chloric acid	XTEGARKTQYYJKE-UHFFFAOYSA-N
Chloride	VEXZGXHMUGYJMC-UHFFFAOYSA-M
Chloride atom	ZAMOUSCENKQFHK-UHFFFAOYSA-N
Chloridotris	RIOQSEWOXXDEQQ-UHFFFAOYSA-N
Chlorobenzene	MVPPADPHJFYWMZ-UHFFFAOYSA-N
Chloroform	HEDRZPFGACZZDS-UHFFFAOYSA-N
Chloroform-D	HEDRZPFGACZZDS-MICDWDOJSA-N
Chlorous acid	QBWCMBCROVPCKQ-UHFFFAOYSA-N
Choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N
Chromic acid	KRVSOGSZCMJSLX-UHFFFAOYSA-L
Chromium	VYZAMTAEIAYCRO-UHFFFAOYSA-N
Chromium trioxide	GAMDZJFZMJECOS-UHFFFAOYSA-N
Citrate	KRKNYBCHXYNGOX-UHFFFAOYSA-K
Citric acid	KRKNYBCHXYNGOX-UHFFFAOYSA-N
Cobalt	GUTLYIVDDKVIGB-UHFFFAOYSA-N
Copper	RYGMFSIKBFXOCR-UHFFFAOYSA-N
Copper(I) Iodide	LSXDOTMGLUJQCM-UHFFFAOYSA-M
Cyclohexane	XDTMQSROBMDMFD-UHFFFAOYSA-N
Cyclopentane	RGSFGYAAUTVSQA-UHFFFAOYSA-N 
Dess-Martin periodinane	NKLCNNUWBJBICK-UHFFFAOYSA-N
Deuterium oxide	XLYOFNOQVPJJNP-ZSJDYOACSA-N
Diborane	ZOCHARZZJNPSEU-UHFFFAOYSA-N
Dichloromethane	YMWUJEATGCHHMB-UHFFFAOYSA-N
Dicyclohexylcarbodiimide	QOSSAOTZNIDXMA-UHFFFAOYSA-N
Diethyl azodicarboxylate	FAMRKDQNMBBFBR-UHFFFAOYSA-N
Diethyl ether	RTZKZFJDLAIYFH-UHFFFAOYSA-N
Dihydropyran	BUDQDWGNQVEFAC-UHFFFAOYSA-N
Diisobutylaluminium hydride	VKYABZXPNHHDSD-UHFFFAOYSA-N
Diisopropyl azodicarboxylate	VVWRJUBEIPHGQF-MDZDMXLPSA-N
Diisopropyl ether	ZAFNJMIOTHYJRJ-UHFFFAOYSA-N
Dimethyl ether	LCGLNKUTAGEVQW-UHFFFAOYSA-N
Dimethylformamide	ZMXDDKWLCZADIW-UHFFFAOYSA-N
Dimethyl sulfide	QMMFVYPAHWMCMS-UHFFFAOYSA-N
Dimethyl sulfoxide	IAZDPXIOMUYVGZ-UHFFFAOYSA-N
Dinitrogen	IJGRMHOSHXDMSA-UHFFFAOYSA-N
Dioxane	RYHBNJHYFVUHQT-UHFFFAOYSA-N
Dithiothreitol	VHJLVAABSRFDPM-QWWZWVQMSA-N
EDTA	KCXVZYZYPLLWCC-UHFFFAOYSA-N
Ethane	OTMSDBZUPAUEDD-UHFFFAOYSA-N
Ethanol	LFQSCWFLJHTTHZ-UHFFFAOYSA-N
Ethyl acetate	XEKOWRVHYACXOJ-UHFFFAOYSA-N 
Ethylene	VGGSQFUCUMXWEO-UHFFFAOYSA-N
Ethyl radical	QUPDWYMUPZLYJZ-UHFFFAOYSA-N
Formaldehyde	WSFSSNUMVMOOMR-UHFFFAOYSA-N
Formamide	ZHNUHDYFZUAESO-UHFFFAOYSA-N 
Formate	BDAGIHXWWSANSR-UHFFFAOYSA-M
Formic acid	BDAGIHXWWSANSR-UHFFFAOYSA-N
Fumarate	VZCYOOQTPOCHFL-OWOJBTEDSA-L
Furan	YLQBMQCUIZJEEH-UHFFFAOYSA-N
Furfural	HYBBIBNJHNGZAN-UHFFFAOYSA-N
Glutamate(2-)	WHUUTDBJXJRKMK-UHFFFAOYSA-L
Glutathione	RWSXRVCMGQZWBV-WDSKDSINSA-N
Glycerol	PEDCQBHIVMGVHV-UHFFFAOYSA-N  
Glycine	DHMQDGOQFOQNFH-UHFFFAOYSA-N
Gold	PCHJSUWPFVWCPO-UHFFFAOYSA-N
Helium	SWQJXJOGLNCZEY-UHFFFAOYSA-N
Hepes	JKMHFZQWWAIEOD-UHFFFAOYSA-N
Hexamethylphosphoramide	GNOIPBMMFNIUFM-UHFFFAOYSA-N
Hexane	VLKZOEOYAKHREP-UHFFFAOYSA-N
Hydrazine	OAKJQQAXSVQMHS-UHFFFAOYSA-N
Hydrazoic acid	JUINSXZKUKVTMD-UHFFFAOYSA-N 
Hydrobromic acid	CPELXLSAUQHCOX-UHFFFAOYSA-N
Hydrochloric acid	VEXZGXHMUGYJMC-UHFFFAOYSA-N
Hydrocyanic acid	LELOWRISYMNNSU-UHFFFAOYSA-N
Hydrofluoric acid	KRHYYFGTRYWZRS-UHFFFAOYSA-N
Hydrogen	UFHFLCQGNIYNRP-UHFFFAOYSA-N
Hydrogen peroxide	MHAJPDPJQMAIIY-UHFFFAOYSA-N
Hydrogen sulfide	WSOTUBLDIXVET-UHFFFAOYSA-N
Hydroiodic acid	XMBWDFGMSWQBCA-UHFFFAOYSA-N
Hydroxide	XLYOFNOQVPJJNP-UHFFFAOYSA-M
Hypoxanthine	FDGQSTZJBFJUBT-UHFFFAOYSA-N
Imidazole	RAXXELZNTBOGNW-UHFFFAOYSA-N
Indole	SIKJAQJRHWYJAI-UHFFFAOYSA-N
Iodomethane	INQOMBQAUSQDDS-UHFFFAOYSA-N
Iron	XEEYBQQBJWHFJM-UHFFFAOYSA-N
Lactate	JVTAAEKCZFNVCJ-UHFFFAOYSA-M
Lactic acid	JVTAAEKCZFNVCJ-UHFFFAOYSA-N
Lead	WABPQHHGFIMREM-UHFFFAOYSA-N
Lime	ODINCKMPIJJUCX-UHFFFAOYSA-N
Limestone	VTYYLEPIZMXCLO-UHFFFAOYSA-L
Linoleic acid	OYHQOLUKZRVURQ-HZJYTTRNSA-N
Lithium aluminium hydride	BJKLPLABXHXMIM-UHFFFAOYSA-N
Lithium diisopropylamide	ZCSHNCUQKCANBX-UHFFFAOYSA-N
Lithium hydroxide	WMFOQBRAJBCJND-UHFFFAOYSA-M
Magnesium chloride	TWRXJAOTZQYOKJ-UHFFFAOYSA-L
Magnesium sulfate	CSNNHWWHGAXBCP-UHFFFAOYSA-L
Malate	BJEPYKJPYRNKOW-UHFFFAOYSA-L
Malic acid	BJEPYKJPYRNKOW-UHFFFAOYSA-N
Manganese	PWHULOQIROXLJO-UHFFFAOYSA-N
Manganese dioxide	NUJOXMJBOLGQSY-UHFFFAOYSA-N  
Mercury	QSHDDOUJBYECFT-UHFFFAOYSA-N
meta-Chloroperoxybenzoic acid	NHQDETIJWKXCTC-UHFFFAOYSA-N 
Methane	VNWKTOKETHGBQD-UHFFFAOYSA-N
Methanol	OKKJLVBELUTLKV-UHFFFAOYSA-N
Methyl alcohol	OKKJLVBELUTLKV-UHFFFAOYSA-N
Methylcyclopentane	GDOPTJXRTPNYNR-UHFFFAOYSA-N
Methyl Radical	WCYWZMWISLQXQU-UHFFFAOYSA-N
Methyl tert-butyl ether	BZLVMXJERCGZMT-UHFFFAOYSA-N 
Monobromine	WKBOTKDWSSQWDR-UHFFFAOYSA-N
Monooxygen	QVGXLLKOCUKJST-UHFFFAOYSA-N
Myo-inositol	CDAISMWEOUEBRE-UHFFFAOYSA-N
NADPH	ACFIXJIJDZMPPO-NNYOXOHSSA-N
N-Brocosuccinimide	PCLIMKBDDGJMGD-UHFFFAOYSA-N
N-Butyllithium	DLEDOFVPSDKWEF-UHFFFAOYSA-N
Nickel	PXHVJJICTQNCMI-UHFFFAOYSA-N
Nitrate	NHNBFGGVMKEFGY-UHFFFAOYSA-N
Nitric acid	GRYLNZFGIOXLOG-UHFFFAOYSA-N  
Nitric oxide	MWUXSHHQAYIFBG-UHFFFAOYSA-N
Nitrobenzene	LQNUZADURLCDLV-UHFFFAOYSA-N
Nitrogen	QJGQUHMNIGDVPM-UHFFFAOYSA-N
Nitromethane	LYGJENNIWJXYER-UHFFFAOYSA-N 
Nitrous acid	IOVCWXUNBOPUCH-UHFFFAOYSA-N
Oleic acid	ZQPPMHVWECSIRJ-KTKRTIGZSA-N
Osmium tetroxide	VUVGYHUDAICLFK-UHFFFAOYSA-N
Oxalyl chloride	CTSLXHKWHWQRSH-UHFFFAOYSA-N
Oxidanyl	TUJKJAMUKRIRHC-UHFFFAOYSA-N
Ozone	CBENFWSGALASAD-UHFFFAOYSA-N
Palladium(II) acetate	YJVFFLUZDVXJQI-UHFFFAOYSA-L
Palmitic acid	IPCSVZSSVZVIGE-UHFFFAOYSA-N
Perchloric acid	VLTRZXGMWDSKGL-UHFFFAOYSA-N
Phenol	ISWSIDIOOBJBQZ-UHFFFAOYSA-N
Phosphate	NBIIXXVUZAFLBC-UHFFFAOYSA-K
Phosphine	OAICVXFJPJFONN-UHFFFAOYSA-N
Phosphocholine	YHHSONZFOIEMCP-UHFFFAOYSA-O
Phosphoric acid	NBIIXXVUZAFLBC-UHFFFAOYSA-N
Phosphorus pentachloride	UHZYTMXLRWXGPK-UHFFFAOYSA-N
Phosphorus tribromide	IPNPIHIZVLFAFP-UHFFFAOYSA-N
Phosphorus trichloride	FAIAAWCVCHQXDN-UHFFFAOYSA-N
Phosphoryl chloride	XHXFXVLFKHQFAL-UHFFFAOYSA-N
Platinum	BASFCYQUMIYNBI-UHFFFAOYSA-N
Potassium bromide	IOLCXVTUBQKXJR-UHFFFAOYSA-M
Potassium carbonate	BWHMMNNQKKPAPP-UHFFFAOYSA-L
Potassium chloride	WCUXLLCKKVVCTQ-UHFFFAOYSA-M
Potassium dichromate	KMUONIBRACKNSN-UHFFFAOYSA-N
Potassium fluoride	NROKBHXJSPEDAR-UHFFFAOYSA-M
Potassium hydroxide	KWYUFKZDYYNOTN-UHFFFAOYSA-M
Potassium permanganate	VZJVWSHVAAUDKD-UHFFFAOYSA-N  
Propane	ATUOYWHBWRKTHZ-UHFFFAOYSA-N
Propyl alcohol	BDERNNFJNOPAEC-UHFFFAOYSA-N
Pyridine	JUJWROOIHBZHMG-UHFFFAOYSA-N
Pyridinium chlorochromate	HBDYSKVKXMUPKV-UHFFFAOYSA-N
Pyridinium dichromate	LMYWWPCAXXPJFF-UHFFFAOYSA-P
Pyrophosphate ion	XPPKVPWEQAFLFU-UHFFFAOYSA-J
Silicon	XUIMIQQOPSSXEZ-UHFFFAOYSA-N
Silver nitrate	SQGYOTSLMSWVJD-UHFFFAOYSA-N
Silver oxide	VFWRGKJLLYDFBY-UHFFFAOYSA-N 
Sodium 	MPMYQQHEHYDOCL-UHFFFAOYSA-N
Sodium acetate	VMHLLURERBWHNL-UHFFFAOYSA-M
Sodium amide	ODZPKZBBUMBTMG-UHFFFAOYSA-N
Sodium azide	PXIPVTKHYLBLMZ-UHFFFAOYSA-N
Sodium bicarbonate	UIIMBOGNXHQVGW-UHFFFAOYSA-M
Sodium bis(trimethylsilyl)amide	WRIKHQLVHPKCJU-UHFFFAOYSA-N
Sodium borohydride	YOQDYZUWIQVZSF-UHFFFAOYSA-N
Sodium carbonate	CDBYLPFSWZWCQE-UHFFFAOYSA-L
Sodium chloride	FAPWRFPIFSIZLT-UHFFFAOYSA-M
Sodium chlorite	UKLNMMHNWFDKNT-UHFFFAOYSA-M
Sodium Dodecyl Sulfate	DBMJMQXJHONAFJ-UHFFFAOYSA-M
Sodium hydride	BZKBCQXYZZXSCO-UHFFFAOYSA-N
Sodium hydroxide	HEMHJVSKTPXQMS-UHFFFAOYSA-M
Sodium hypochlorite	SUKJFIGYRHOWBL-UHFFFAOYSA-N
Sodium methanolate	WQDUMFSSJAZKTM-UHFFFAOYSA-N
Sodium nitrite	LPXPTNMVRIOKMN-UHFFFAOYSA-M
Sodium sulfate	PMZURENOXWZQFD-UHFFFAOYSA-L
Strontium hydroxide	UUCCCPNEFXQJEL-UHFFFAOYSA-L
Succinate	KDYFGRWQOYBRFD-UHFFFAOYSA-L
Succinic acid	KDYFGRWQOYBRFD-UHFFFAOYSA-N
Sulfate	QAOWNCQODCNURD-UHFFFAOYSA-L
Sulfuric acid	QAOWNCQODCNURD-UHFFFAOYSA-N
Sulfurous acid	LSNNMFCWUKXFEE-UHFFFAOYSA-N
Sulphur	NINIDFKCEFEMDL-UHFFFAOYSA-N
Superoxide	OUUQCZGPVNCOIJ-UHFFFAOYSA-M
tert-Butanol	DKGAVHZHDRPRBM-UHFFFAOYSA-N 
tert-Butyl hydroperoxide	CIHOLLKRGTVIJN-UHFFFAOYSA-N
tert-Butyl methyl ether	BZLVMXJERCGZMT-UHFFFAOYSA-N
Tetrachloroethylene	CYTYCFOTNPOANT-UHFFFAOYSA-N 
Tetrahydridocarbon	OKTJSMMVPCPJKN-UHFFFAOYSA-N
Tetrahydrofuran	WYURNTSHIVDZCO-UHFFFAOYSA-N
Tetrakis(triphenylphosphine)palladium(0)	NFHFRUOZVGFOOS-UHFFFAOYSA-N
Tetramethylammonium hydroxide	WGTYBPLFGIVFAS-UHFFFAOYSA-M
Tetramethylsilane	CZDYPVPMEAXLPK-UHFFFAOYSA-N
Thionyl chloride	FYSNRJHAOHDILO-UHFFFAOYSA-N
Thiophenol	RMVRSNDYEFQCLF-UHFFFAOYSA-N
Titanium tetrachloride	XJDNKRIXUMDJCW-UHFFFAOYSA-J
Toluene	YXFVVABEGXRONW-UHFFFAOYSA-N
Trichloroethylene	XSTXAVWGXDQKEL-UHFFFAOYSA-N  
Triethylamine	ZMANZCXQSJIPKH-UHFFFAOYSA-N
Trifluoroacetic acid	DTQVDTLACAAQTR-UHFFFAOYSA-N
Triphenylphosphine	RIOQSEWOXXDEQQ-UHFFFAOYSA-N
Urea	XSQUKJJJFZCRTK-UHFFFAOYSA-N
Water	XLYOFNOQVPJJNP-UHFFFAOYSA-N
Zinc	HCHKCACWOHOZIP-UHFFFAOYSA-N
